,result
0,B-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O B-8 I-8 I-8 I-8 I-8 O O O O O B-14 I-14 I-14 I-14 O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O B-14 I-14 O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O B-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-14 I-14 O O O O O
1,B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O O O B-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O B-12 I-12 I-12 O B-12 I-12 I-12 O O B-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 O O O B-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3,O O O B-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 O O O B-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 O O O O O O O O B-12 I-12 I-12 B-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 O O O B-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8 I-8
4,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O B-12 I-12 I-12 O B-8 I-8 I-8 I-8 I-8 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-6 I-6 I-6 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-13 I-13 I-13 I-13 O B-14 I-14 O O O O O B-14 I-14 O I-14 B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 B-12 I-12 I-12 O B-12 I-12 I-12 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
5,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 I-9 O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O B-14 I-14 I-14 I-14 O O O O B-13 I-13 I-13 I-13 O O O O
6,B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O
7,B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O B-14 I-14 O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 B-14 I-14 O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O B-14 O I-14 I-14 O O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
8,B-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-14 I-14 O O O B-14 I-14 O O O O O O O O O O O O O O O O O B-14 I-14 O O O O O O O O O O O O O O O O O O I-13 O O O O O O O O O O O O
9,B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 B-11 I-11 O I-11 I-11 I-11 I-11 I-11 O B-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 I-12 O O O O O O O O O O O B-14 I-14 O O O O O O O O O B-14 I-14 O O O O O O O O O O O O B-14 I-14 I-14 I-14 O O O O O O O B-14 I-14 O O O O O O O O O O O O O O I-14 I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-12 I-12 I-12 I-12 I-12 O O B-12 I-12 I-12 I-12 I-12 O O O O B-14 I-14 O O O O O O I-14 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-13 I-13 I-13 I-13 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
